Batch_id,Batch_name,Batch_THF_ref,Batch_id,Date,Technicien_id,Batch_KC8,Masse_KC8,Volume_THF,Ref_plaque,Vitesse_agitation,Heure_debut,Lab_HR,Lab_T,BaG_T,BaG_H2O_ppm,BaG_O2_ppm,Observations,Batch_id,Date,Technicien_id,Ajout_THF_JourJ,Heure_ajout2,Volume_THF_ajout2,Heure_debut_sedimentation,Heure_fin_sedimentation,Sediments,Ctrl_visuel_couleur,Lab_HR,Lab_T,BaG_T,BaG_H2O_ppm,BaG_O2_ppm,Observations,Centrifugation,Batch_id,Date,Technicien_id,Debit_air_synthetique,Temps_oxidation,Lab_HR,Lab_T,Observations,Batch_id,Date,Technicien_id,m_OGD,m_THF,Abs_800,QC_Conc_OGD,QC_Categorie,Stockage_recipient,Stockage_Emplacement,Stockage_Utilisation,Observations
2,2301A,NA,2,2023-01-04,2,K01,5.0,500.0,1,230.0,2023-01-04 11:00:00,34.3,20.0,0.0,0.09,0.09,KF 10.3 ppm,2,2023-01-10,2,0,2023-01-10 00:00:00,500.0,2023-01-10 09:00:00,2023-01-10 09:35:00,NOIR ET OR,BRUN ORANGE,35.9,21.1,27.9,0.09,0.0,,1,2,2023-01-10,2,0.1,0.0,38.8,21.0,,2,2024-01-10,2,0.345,2.871,0.4,0.4,-1,,,,None
3,2301B,NA,3,2023-01-05,2,K01,5.0,500.0,2,230.0,2023-01-05 12:10:00,42.2,21.5,0.0,0.09,0.09,ERLENMEYER B,3,2023-01-11,3,0,2023-01-11 00:00:00,500.0,2023-01-11 09:05:00,2023-01-11 09:35:00,NOIR ET OR,JAUNE FONC,43.0,21.0,28.0,0.09,0.0,,1,3,2023-01-11,3,0.1,0.0,42.0,22.0,,3,2023-01-11,3,0.291,2.923,0.668,0.668,-1,,,,None
4,2301C,NA,4,2023-01-06,2,K01,4.8,500.0,3,230.0,2023-01-06 11:45:00,37.5,21.5,0.0,0.09,0.09,ERLENMEYER C,4,2023-01-12,2,0,2023-01-12 00:00:00,0.0,2023-01-12 09:00:00,2023-01-12 10:30:00,NOIR ET OR,NOIR,38.6,21.4,28.5,0.09,0.0,PAS DE CENRI,0,4,2023-01-12,2,0.1,0.0,38.6,21.4,,4,2023-01-12,2,0.19,2.787,8.6,8.6,-1,,,,None
5,2302A,NA,5,2023-01-11,3,K02,5.0,500.0,1,230.0,2023-01-11 11:45:00,42.0,22.0,0.0,0.09,0.3,ERLENMEYER A,5,2023-01-17,3,0,2023-01-17 00:00:00,500.0,2023-01-17 08:25:00,2023-01-17 08:55:00,,JAUNE FONCE,31.0,20.0,27.0,0.09,0.0,UN TUBE NON RECUP PBLM APRES CENTRI,1,5,2023-01-17,3,0.1,0.0,30.0,20.0,,5,2023-01-17,3,0.303,2.999,0.056,0.56,-1,,,,None
6,2302B,NA,6,2023-01-12,2,K02,5.0,500.0,2,230.0,2023-01-12 12:30:00,38.7,21.4,0.0,0.09,0.09,ERLENMEYER C,6,2023-01-17,2,0,2023-01-17 08:30:00,500.0,2023-01-17 08:40:00,2023-01-17 10:00:00,NOIR,NOIR,25.0,21.0,27.4,0.09,0.0,,0,6,2023-01-17,2,0.8,0.0,24.2,20.9,"2 TUBE OX POUR MESURE UV , 2 TUBE CENTRIFUGE",6,2023-01-17,2,0.31,2.945,0.405,0.405,-1,,,,None
8,2303A,NA,8,2023-01-18,2,K03,5.0,500.0,1,230.0,2023-01-18 12:00:00,23.0,21.0,0.0,0.09,0.7,ERLENMEYER C,8,2023-01-24,2,0,2023-01-24 00:00:00,500.0,2023-01-24 09:30:00,2023-01-24 11:00:00,NOIR ET OR,BRUN ORANGE,21.0,21.0,27.0,0.09,0.0,STOCKE BOUTEILLE 2L,1,8,2023-01-24,2,0.8,0.0,22.0,21.0,CQ SUR NON-CENTRIFUGE,8,2023-01-24,2,0.305,3.012,0.68,0.68,-1,,,,None
9,2303B,NA,9,2023-01-19,3,K03,5.0,500.0,2,230.0,2023-01-19 10:00:00,25.0,21.0,0.0,0.09,0.8,ERLENMEYER C,9,2023-01-25,3,0,2023-01-25 00:00:00,500.0,2023-01-25 08:30:00,2023-01-25 09:00:00,NOIR ET OR,,23.0,20.0,27.4,0.09,0.0,RASSEMBLE AVEC 03A APRES MESURE CONC,1,9,2023-01-25,3,0.1,0.0,23.0,21.0,,9,2023-01-25,3,0.325,2.693,0.3,0.3,-1,,,,None
10,2303C,NA,10,2023-01-20,2,K03,4.9,500.0,3,230.0,2023-01-20 00:00:00,24.0,21.0,0.0,0.09,0.8,ERLENMEYER C,10,2023-01-26,2,0,2023-01-26 08:30:00,500.0,2023-01-26 09:00:00,2023-01-26 10:00:00,NOIR ET OR,BRUN,22.4,20.9,27.9,0.09,0.0,STOCKAGE BOUTEILLE BAG,1,10,2023-01-26,2,0.3,0.0,22.0,21.0,,10,2023-01-26,2,0.319,2.716,0.5,0.5,-1,,,,None
11,2304A,NA,11,2023-01-25,3,K04,5.0,500.0,1,230.0,2023-01-25 11:50:00,22.0,21.0,0.0,0.09,1.2,ERLENMEYER B,11,2023-01-31,3,0,2023-01-31 00:00:00,500.0,2023-01-31 08:30:00,2023-01-31 09:00:00,NOIR ET OR,JAUNE CLAIR,24.0,21.0,28.0,0.09,0.0,1 TUBE PBLM PIPETTE,1,11,2023-01-31,3,0.1,0.0,25.0,21.0,,11,2023-01-31,3,0.35,2.685,0.353,0.353,-1,,,,None
12,2304B,NA,12,2023-01-26,2,K04,5.0,500.0,2,230.0,2023-01-26 09:00:00,22.0,21.0,0.0,0.09,0.09,ERLENMEYER C,12,2023-02-01,2,0,2023-02-01 08:30:00,500.0,2023-02-01 09:20:00,2023-02-01 10:00:00,NOIR ET OR,BRUN ORANGE,27.0,22.0,29.0,0.09,0.0,,1,12,2023-02-01,2,0.3,0.0,26.0,22.0,OXYDE ENTIER LE 140223,12,2023-02-01,2,0.322,3.086,0.617,0.617,-1,,,,None
