,Technicien_id,Batch_KC8,Ref_plaque,Vitesse_agitation,Lab_HR,Lab_T,BaG_T,BaG_H2O_ppm,BaG_O2_ppm,Technicien_id.1,Lab_HR.1,Lab_T.1,BaG_T.1,BaG_H2O_ppm.1,BaG_O2_ppm.1,Centrifugation,Technicien_id.2,Lab_HR.2,Lab_T.2,Technicien_id.3,conc_KC8,volume_O2,month_production,days_exfo,sediment_time,exfo_gde_maree
0,2,K01,1,230.0,34.3,20.0,0.0,1,1,2,35.9,21.1,27.9,1,1,1,2,38.8,21.0,2,0.005,0.0,1,5,2100.0,0
1,2,K01,2,230.0,42.2,21.5,0.0,1,1,3,43.0,21.0,28.0,1,1,1,3,42.0,22.0,3,0.005,0.0,1,5,1800.0,0
2,2,K01,3,230.0,37.5,21.5,0.0,1,1,2,38.6,21.4,28.5,1,1,0,2,38.6,21.4,2,0.0096,0.0,1,5,5400.0,0
3,3,K02,1,230.0,42.0,22.0,0.0,1,0,3,31.0,20.0,27.0,1,1,1,3,30.0,20.0,3,0.005,0.0,1,5,1800.0,0
4,2,K02,2,230.0,38.7,21.4,0.0,1,1,2,25.0,21.0,27.4,1,1,0,2,24.2,20.9,2,0.005,0.0,1,4,4800.0,0
5,2,K03,1,230.0,23.0,21.0,0.0,1,0,2,21.0,21.0,27.0,1,1,1,2,22.0,21.0,2,0.005,0.0,1,5,5400.0,2
6,3,K03,2,230.0,25.0,21.0,0.0,1,0,3,23.0,20.0,27.4,1,1,1,3,23.0,21.0,3,0.005,0.0,1,5,1800.0,3
7,2,K03,3,230.0,24.0,21.0,0.0,1,0,2,22.4,20.9,27.9,1,1,1,2,22.0,21.0,2,0.004900000000000001,0.0,1,6,3600.0,3
8,3,K04,1,230.0,22.0,21.0,0.0,1,0,3,24.0,21.0,28.0,1,1,1,3,25.0,21.0,3,0.005,0.0,1,5,1800.0,0
9,2,K04,2,230.0,22.0,21.0,0.0,1,1,2,27.0,22.0,29.0,1,1,1,2,26.0,22.0,2,0.005,0.0,1,5,2400.0,0
10,2,K04,1,230.0,27.0,22.0,0.0,1,1,7,20.0,22.0,29.0,1,1,1,7,25.0,24.0,1,0.005,0.0,2,5,1800.0,0
11,3,K04,2,230.0,24.9,22.1,0.0,0,1,3,0.0,21.8,29.3,1,1,1,3,20.1,22.3,3,0.005,0.0,2,5,1800.0,0
12,2,K04,3,230.0,22.0,22.0,0.0,1,1,3,0.0,21.6,0.0,1,1,1,7,27.0,19.0,1,0.005,0.0,2,5,1800.0,0
13,7,K05,4,230.0,22.0,23.0,0.0,1,0,7,0.0,21.0,29.0,1,1,1,7,0.0,22.0,1,0.005,0.0,2,5,1800.0,0
14,3,K05,1,230.0,0.0,23.5,0.0,1,0,3,21.0,21.0,29.0,1,1,1,3,37.9,23.9,1,0.005,0.0,2,5,1800.0,0
15,2,K05,1,230.0,27.0,21.5,0.0,1,0,2,27.0,22.0,30.0,1,1,1,2,30.0,23.0,1,0.005,0.0,2,5,3600.0,2
16,2,K07,1,230.0,27.0,22.0,0.0,1,1,2,0.0,21.0,29.0,1,1,1,2,0.0,23.0,1,0.005,0.0,2,6,1800.0,2
17,3,K07,2,230.0,41.1,22.5,0.0,1,1,3,0.0,20.1,28.5,1,1,1,2,0.0,23.0,1,0.005,0.0,2,5,1800.0,1
18,2,K07,3,230.0,29.0,22.0,0.0,1,0,2,0.0,21.0,28.0,1,1,1,2,0.0,23.0,1,0.005,0.0,2,5,1800.0,0
19,2,K07,1,230.0,0.0,21.0,0.0,1,0,2,0.0,21.6,28.5,1,1,1,2,20.2,22.2,1,0.01,0.0,3,5,2400.0,0
20,3,K07,2,230.0,0.0,23.3,0.0,1,0,3,30.2,22.4,29.3,1,1,1,2,37.0,24.0,7,0.005,0.0,3,5,1800.0,0
21,2,K07,3,230.0,0.0,22.0,0.0,1,0,2,36.0,23.0,30.0,1,1,1,2,37.0,24.0,7,0.01,0.0,3,5,2100.0,0
22,2,K10,1,230.0,0.0,21.6,0.0,1,0,2,43.8,22.8,29.0,1,1,1,2,37.0,24.0,7,0.005,0.0,3,5,2100.0,0
23,3,K10,2,230.0,31.3,21.6,0.0,1,0,3,34.1,22.2,29.3,1,1,1,3,30.9,23.1,7,0.005,0.0,3,5,1800.0,0
24,2,K10,3,230.0,36.0,23.0,0.0,1,0,2,35.0,23.0,30.0,1,1,1,2,33.0,24.0,2,0.005,0.0,3,5,2100.0,0
25,2,K10,4,230.0,29.6,23.0,0.0,1,0,3,28.9,23.1,0.0,1,1,1,3,32.0,25.0,2,0.01,0.0,3,6,1800.0,0
26,2,K10,1,230.0,35.0,23.0,0.0,1,0,2,27.2,23.2,30.0,1,1,1,2,31.4,24.0,1,0.005,0.0,3,6,1920.0,0
27,3,K10,2,230.0,28.8,22.7,0.0,1,1,3,35.1,20.9,28.2,1,1,1,3,34.8,22.8,1,0.005,0.0,3,5,1800.0,0
28,2,K MIX,3,230.0,32.7,24.0,0.0,1,1,2,37.5,22.7,29.3,1,1,1,2,33.0,24.0,2,0.01,0.0,3,5,2100.0,1
29,6,K12,1,230.0,35.0,20.8,0.0,1,1,6,23.5,23.0,29.6,1,1,1,6,24.0,24.0,6,0.005032,0.0,3,6,2580.0,2
30,2,K12,2,230.0,37.5,22.7,0.0,1,0,2,29.0,21.0,27.0,1,1,1,2,29.0,23.0,1,0.0049900000000000005,0.0,3,6,2100.0,1
31,2,K12,1,230.0,29.0,21.0,0.0,1,0,2,23.8,22.0,29.2,1,1,1,2,21.0,23.0,1,0.005,0.0,3,6,1980.0,0
32,1,K12,2,230.0,37.0,23.0,0.0,1,1,6,20.3,22.6,0.0,0,1,1,6,20.0,24.2,1,0.005009400000000001,0.0,3,5,1800.0,0
33,2,K21,10,230.0,32.0,24.0,0.0,1,1,2,25.0,22.0,0.0,1,0,1,2,21.0,23.0,1,0.01,0.0,3,-26,1800.0,0
34,1,K14,7,230.0,20.0,21.0,0.0,1,0,6,28.9,23.6,0.0,1,0,1,6,28.3,23.9,1,0.0100108,0.0,4,5,5400.0,0
35,2,K14,2,230.0,25.0,23.0,0.0,1,0,2,40.0,23.0,0.0,1,0,1,2,40.0,23.0,1,0.01,0.0,4,5,2400.0,0
36,2,K14,1,230.0,40.4,22.5,0.0,1,0,2,26.3,22.7,0.0,1,0,1,2,26.0,24.0,1,0.01,0.0,4,6,1800.0,0
37,6,K14,2,230.0,27.0,23.0,0.0,1,0,3,25.3,23.0,0.0,1,1,1,3,23.8,24.9,1,0.01,0.0,4,5,1800.0,0
38,3,K16,1,230.0,25.0,23.0,0.0,1,1,3,37.9,22.4,0.0,1,0,1,3,38.2,23.4,1,0.0100081,0.0,4,5,1800.0,2
