,Batch_OGD_name,Batch_OGD_Technicien,Batch_OGD_KC8_batch,Batch_OGD_Temperature,Batch_OGD_Agitation,Batch_OGD_room_HR,Batch_OGD_room_T,Batch_OGD_Analyses,conc_KC8,month_production,day_production_start,days_exfo,exfo_gde_maree
0,2301A,IT,2023-K01,27.87142857142857,230.0,34.3,20.0,1,0.01,1,4,5.0,0.0
1,2301B,IT,2023-K01,27.87142857142857,230.0,42.2,21.5,1,0.01,1,5,5.0,0.0
2,2301C,IT,2023-K01,27.87142857142857,230.0,37.5,21.5,0,0.0096,1,6,5.0,0.0
3,2302A,CD,2023-K02,27.87142857142857,230.0,42.0,22.0,1,0.01,1,11,5.0,0.0
4,2302B,IT,2023-K02,27.87142857142857,230.0,38.7,21.4,0,0.01,1,12,4.0,0.0
5,2303A,IT,2023-K03,27.87142857142857,230.0,23.0,21.0,1,0.01,1,18,5.0,2.6666666666666665
6,2303B,CD,2023-K03,27.87142857142857,230.0,25.0,21.0,1,0.01,1,19,5.0,2.6666666666666665
7,2303C,IT,2023-K03,27.87142857142857,230.0,24.0,21.0,1,0.009800000000000001,1,20,6.0,2.6666666666666665
8,2304A,CD,2023-K04,27.87142857142857,230.0,22.0,21.0,1,0.01,1,25,5.0,0.0
9,2304B,IT,2023-K04,27.87142857142857,230.0,22.0,21.0,1,0.01,1,26,5.0,0.0
10,2305A,IT,2023-K04,27.458333333333332,230.0,27.0,22.0,1,0.01,2,1,5.0,0.0
11,2305B,CD,2023-K04,27.458333333333332,230.0,24.9,22.1,1,0.01,2,2,5.0,0.0
12,2305C,IT,2023-K04,27.458333333333332,230.0,22.0,22.0,1,0.01,2,3,5.0,0.0
13,2305D,RS,2023-K05,27.458333333333332,230.0,22.0,23.0,1,0.01,2,3,5.0,0.0
14,2306A,CD,2023-K05,27.458333333333332,230.0,33.545,23.5,1,0.01,2,8,5.0,0.0
15,2307A,IT,2023-K05,27.458333333333332,230.0,27.0,21.5,1,0.01,2,15,5.0,4.5
