,Batch_OGD_name,Batch_OGD_date,Batch_OGD_Technicien,Batch_OGD_KC8_batch,Batch_OGD_KC8_masse,Batch_OGD_THF_batch,Batch_OGD_THF_Volume,Batch_OGD_Temperature,Batch_OGD_Agitation,Batch_OGD_heure_debut,Batch_OGD_heure_fin,Batch_OGD_room_HR,Batch_OGD_room_T,Batch_OGD_Stock,Batch_OGD_Analyses
0,2301A,2023-01-04,IT,K01,5.0,to_fill,500.0,0.0,230.0,2023-01-04 11:00:00,2023-01-10 00:00:00,34.3,20.0,0.0,1
1,2301B,2023-01-05,IT,K01,5.0,to_fill,500.0,0.0,230.0,2023-01-05 12:10:00,2023-01-11 00:00:00,42.2,21.5,0.0,1
2,2301C,2023-01-06,IT,K01,4.8,to_fill,500.0,0.0,230.0,2023-01-06 11:45:00,2023-01-12 00:00:00,37.5,21.5,0.0,0
3,2302A,2023-01-11,CD,K02,5.0,to_fill,500.0,0.0,230.0,2023-01-11 11:45:00,2023-01-17 00:00:00,42.0,22.0,0.0,1
4,2302B,2023-01-12,IT,K02,5.0,to_fill,500.0,0.0,230.0,2023-01-12 12:30:00,2023-01-17 08:30:00,38.7,21.4,0.0,0
5,2303A,2023-01-18,IT,K03,5.0,to_fill,500.0,0.0,230.0,2023-01-18 12:00:00,2023-01-24 00:00:00,23.0,21.0,0.0,1
6,2303B,2023-01-19,CD,K03,5.0,to_fill,500.0,0.0,230.0,2023-01-19 10:00:00,2023-01-25 00:00:00,25.0,21.0,0.0,1
7,2303C,2023-01-20,IT,K03,4.9,to_fill,500.0,0.0,230.0,2023-01-20 00:00:00,2023-01-26 08:30:00,24.0,21.0,0.0,1
8,2304A,2023-01-25,CD,K04,5.0,to_fill,500.0,0.0,230.0,2023-01-25 11:50:00,2023-01-31 00:00:00,22.0,21.0,0.0,1
9,2304B,2023-01-26,IT,K04,5.0,to_fill,500.0,0.0,230.0,2023-01-26 09:00:00,2023-02-01 08:30:00,22.0,21.0,0.0,1
10,2305A,2023-02-01,IT,K04,5.0,to_fill,500.0,0.0,230.0,2023-02-01 09:15:00,2023-02-07 00:00:00,27.0,22.0,0.0,1
11,2305B,2023-02-02,CD,K04,5.0,to_fill,500.0,0.0,230.0,2023-02-02 09:00:00,2023-02-08 00:00:00,24.9,22.1,0.0,1
12,2305C,2023-02-03,IT,K04,5.0,to_fill,500.0,0.0,230.0,2023-02-03 10:30:00,2023-02-09 09:45:00,22.0,22.0,0.0,1
13,2305D,2023-02-03,RS,K05,4.0,to_fill,400.0,0.0,230.0,2023-02-03 17:58:00,2023-02-09 09:15:00,22.0,23.0,0.0,1
14,2306A,2023-02-08,CD,K05,5.0,to_fill,500.0,0.0,230.0,2023-02-08 16:25:00,2023-02-14 00:00:00,0.0,23.5,0.0,1
15,2307A,2023-02-15,IT,K05,5.0,to_fill,500.0,0.0,230.0,2023-02-15 10:40:00,2023-02-21 00:00:00,27.0,21.5,0.0,1
16,2308A,2023-02-21,IT,K07,5.0,to_fill,500.0,0.0,230.0,2023-02-21 09:25:00,2023-02-27 11:35:00,27.0,22.0,0.0,1
17,2308B,2023-02-22,CD,K07,5.0,to_fill,500.0,0.0,230.0,2023-02-22 10:05:00,2023-02-28 09:20:00,41.1,22.5,0.0,1
18,2308C,2023-02-23,IT,K07,5.0,to_fill,500.0,0.0,230.0,2023-02-23 09:11:00,2023-03-01 09:00:00,29.0,22.0,0.0,1
19,2309A,2023-03-01,IT,K07,5.0,to_fill,500.0,0.0,230.0,2023-03-01 09:10:00,2023-03-07 00:00:00,0.0,21.0,0.0,1
20,2309B,2023-03-02,CD,K07,5.0,to_fill,500.0,0.0,230.0,2023-03-02 12:00:00,2023-03-08 09:46:00,0.0,23.3,0.0,1
21,2309C,2023-03-03,IT,K07,5.0,to_fill,500.0,0.0,230.0,2023-03-03 10:40:00,2023-03-09 00:00:00,0.0,22.0,0.0,1
22,2310A,2023-03-07,IT,K10,5.0,to_fill,500.0,0.0,230.0,2023-03-07 09:15:00,2023-03-13 09:10:00,0.0,21.6,0.0,1
23,2310B,2023-03-08,CD,K10,5.0,to_fill,500.0,0.0,230.0,2023-03-08 09:30:00,2023-03-14 09:15:00,31.3,21.6,0.0,1
24,2310C,2023-03-09,IT,K10,5.0,to_fill,500.0,0.0,230.0,2023-03-09 09:30:00,2023-03-15 08:45:00,36.0,23.0,0.0,1
25,2310D,2023-03-10,IT,K10,10.0,to_fill,500.0,0.0,230.0,2023-03-10 08:30:00,2023-03-16 09:10:00,29.6,23.0,0.0,1
26,2311A,2023-03-15,IT,K10,5.0,to_fill,500.0,0.0,230.0,2023-03-15 09:15:00,2023-03-21 09:40:00,35.0,23.0,0.0,1
27,2311B,2023-03-16,CD,K10,5.0,to_fill,500.0,0.0,230.0,2023-03-16 09:10:00,2023-03-22 00:00:00,28.8,22.7,0.0,1
28,2311C,2023-03-17,IT,K MIX,10.0,to_fill,500.0,0.0,230.0,2023-03-17 12:20:00,2023-03-23 09:30:00,32.7,24.0,0.0,1
29,2312A,2023-03-22,MM,K12,5.032,to_fill,500.0,0.0,230.0,2023-03-22 09:45:00,2023-03-28 11:00:00,35.0,20.8,0.0,1
30,2312B,2023-03-23,IT,K12,4.99,to_fill,500.0,0.0,230.0,2023-03-23 09:10:00,2023-03-29 12:20:00,37.5,22.7,0.0,1
31,2313A,2023-03-29,IT,K12,5.0,to_fill,500.0,0.0,230.0,2023-03-29 09:30:00,2023-04-04 09:40:00,29.0,21.0,0.0,1
32,2313B,2023-03-30,FB,K12,5.0094,to_fill,500.0,0.0,230.0,2023-03-30 09:00:00,2023-04-05 05:40:00,37.0,23.0,0.0,1
33,2313C,2023-03-31,IT,K21,10.0,to_fill,500.0,0.0,230.0,2023-03-31 10:49:00,2023-03-06 00:00:00,32.0,24.0,0.0,1
34,2314A,2023-04-05,FB,K14,10.0108,to_fill,500.0,0.0,230.0,2023-04-05 09:45:00,2023-04-11 08:20:00,20.0,21.0,0.0,1
35,2314B,2023-04-06,IT,K14,10.0,to_fill,500.0,0.0,230.0,2023-04-06 10:24:00,2023-04-12 00:00:00,25.0,23.0,0.0,1
36,2315A,2023-04-12,IT,K14,10.0,to_fill,500.0,0.0,230.0,2023-04-12 10:03:00,2023-04-18 10:15:00,40.4,22.5,0.0,1
37,2315B,2023-04-13,MM,K14,10.0,to_fill,500.0,0.0,230.0,2023-04-13 09:50:00,2023-04-19 09:10:00,27.0,23.0,0.0,1
38,2316A,2023-04-19,CD,K16,10.0081,to_fill,500.0,0.0,230.0,2023-04-19 09:20:00,2023-04-25 08:30:00,25.0,23.0,0.0,1
39,2316B,2023-04-20,IT,K16,10.0,to_fill,500.0,0.0,230.0,2023-04-20 10:10:00,2023-04-26 08:30:00,26.4,23.1,0.0,1
40,2316C,2023-04-21,CD,K16,10.0071,to_fill,500.0,0.0,230.0,2023-04-21 10:58:00,2023-04-27 09:00:00,21.2,23.2,0.0,1
