,QC_Conc_OGD,QC_Categorie
0,0.4,-1
1,0.668,-1
2,8.6,-1
3,0.56,-1
4,0.405,-1
5,0.68,-1
6,0.3,-1
7,0.5,-1
8,0.353,-1
9,0.617,-1
10,0.61,-1
11,0.453,-1
12,0.56,-1
13,0.27,-1
14,0.22,-1
15,0.42,-1
16,0.258,-1
17,0.528,-1
18,0.449,-1
19,0.575,-1
20,0.515,-1
21,0.423,-1
22,0.516,-1
23,0.389,-1
24,0.572,-1
25,1.004,-1
26,0.36,-1
27,0.345,-1
28,0.84,-1
29,0.58,-1
30,0.64,-1
31,0.55,-1
32,0.4,-1
33,0.61,-1
34,0.42,-1
35,0.925,-1
36,0.695,-1
37,0.769,-1
38,0.76,-1
39,0.724,-1
40,0.58,-1
41,1.33,-1
42,0.73,-1
43,1.38,-1
44,0.657,-1
45,1.13,-1
46,0.15,-1
47,0.57,-1
48,0.865,-1
49,0.901,-1
50,0.855,-1
51,1.06,-1
52,0.49,-1
53,0.806,-1
54,1.226,-1
55,0.784,-1
56,1.616,-1
57,0.8574,-1
58,1.3051,-1
59,1.346,-1
60,1.66,-1
61,1.154,-1
62,0.799,-1
63,0.26,-1
64,1.3,-1
65,1.64,-1
66,1.096,-1
67,1.2,-1
68,1.599,-1
69,0.736,-1
70,0.96,-1
71,1.132,-1
72,1.43,-1
73,0.83,-1
74,7.5,-1
75,1.79,-1
76,1.005,-1
77,0.716,-1
78,0.67,-1
79,1.57,-1
80,1.914,2
81,0.74,2
82,1.03,3
83,1.168,0
84,1.299,0
85,0.33,-1
86,1.18,2
87,1.101,2
88,0.8,1
89,1.731,-1
90,0.67,1
91,1.23,2
92,1.22,1
93,1.42,3
94,1.34,1
95,0.89,2
96,1.21,2
97,7.913,-1
98,0.837,3
99,0.97,-1
100,1.437,2
101,2.703,-1
102,0.782,1
103,0.596,1
104,0.915,3
105,1.204,2
106,0.73,-1
107,1.104,-1
108,1.657,-1
109,1.879,3
110,1.636,-1
111,1.6,-1
112,0.69,-1
113,0.422,-1
114,0.931,0
115,3.013,2
116,1.853,0
117,1.516,0
118,1.6,3
119,1.12,1
120,1.35,1
121,1.281,1
122,1.66,2
123,1.526,3
124,1.47,0
125,0.497,0
126,2.59,1
127,1.49,3
128,1.587,1
129,1.233,0
130,3.6,2
131,1.56,1
132,1.25,0
133,1.22,0
134,1.37,0
135,1.08,0
136,2.42,3
137,0.62,0
138,1.56,0
139,1.62,3
140,1.23,0
141,2.64,0
142,2.35,2
143,1.41,1
144,1.33,0
145,2.24,0
146,1.31,0
147,2.075,0
148,1.16,0
149,1.39,0
150,1.0,3
151,1.1,3
152,1.6,0
153,3.3,0
154,2.4,1
155,1.4,2
156,1.4,3
157,1.4,3
158,3.0,3
159,2.5,3
160,1.4,0
161,2.4,3
162,2.5,3
163,2.3,1
164,2.5,3
165,2.7,3
166,2.6,3
167,2.3,3
168,2.4,1
169,3.0,1
170,1.84,1
171,2.4,3
172,1.1,3
173,2.39,0
174,0.71,0
175,2.1,0
176,1.0,0
177,1.1,0
178,1.1,0
179,2.6,0
180,2.7,1
181,3.5,1
182,1.9,0
183,2.9,3
184,2.3,1
185,1.9,0
186,2.5,1
187,2.3,1
188,3.7,3
189,2.9,0
190,2.9,1
191,3.0,0
192,1.6,1
193,1.4,3
194,1.8,1
195,1.8,1
196,1.9,3
197,2.1,2
198,1.8,3
199,2.84,3
200,2.8,1
201,2.0,1
202,1.85,2
203,2.5,0
204,3.6,1
205,5.9,3
206,5.7,3
207,2.6,1
208,2.2,1
209,2.7,0
210,3.1,1
211,2.5,1
212,2.7,1
213,2.8,0
214,3.0,1
215,3.7,1
216,2.7,0
217,1.7,1
218,3.7,1
219,3.5,1
220,3.1,1
221,2.9,1
222,2.7,1
223,1.9,1
224,2.1,1
225,2.7,3
226,3.8,1
227,2.6,1
228,2.7,1
229,2.3,1
230,1.7,1
231,4.5,1
232,2.7,0
233,4.2,3
234,6.1,3
235,2.0,1
236,2.5,2
237,2.2,3
238,3.5,2
239,2.4,1
240,3.5,3
241,2.7,2
242,2.5,1
243,0.7,1
244,5.7,3
245,5.2,1
246,5.7,3
247,5.6,3
248,4.3,3
249,6.5,3
250,7.1,3
251,6.9,3
252,2.2,2
253,2.2,2
254,2.2,1
255,2.2,1
256,1.8,1
257,5.7,2
258,5.2,2
259,4.9,2
260,5.5,2
261,5.1,1
262,5.7,2
263,5.8,2
264,1.8,1
265,7.2,3
266,9.7,3
267,8.9,3
268,2.2,2
269,1.5,1
270,1.2,1
271,2.1,2
272,2.6,3
273,2.2,3
274,2.5,3
275,2.7,3
276,1.7,2
277,1.7,2
278,2.6,2
279,2.6,2
280,2.4,1
281,2.4,1
282,2.3,0
283,2.3,0
284,2.2,2
285,2.2,2
286,2.3,1
287,2.3,1
288,1.2,0
289,6.2,3
290,6.2,3
291,1.9,3
292,3.1,3
293,2.7,3
294,2.0,1
295,2.3,1
296,2.2,3
297,1.7,1
298,1.7,1
299,1.4,2
300,2.7,1
301,2.8,1
302,3.8,1
303,1.3,3
304,1.3,3
305,1.0,2
306,1.0,2
307,3.8,2
308,1.9,1
309,3.5,1
310,3.2,3
311,1.4,1
312,1.4,1
313,1.4,1
314,1.8,3
315,2.0,3
316,2.4,2
317,1.2,1
318,1.5,0
